Query,Answer
"Who is at risk for Osteoporosis? ?","Risk Factors You Can't Change   Some risk factors for osteoporosis cannot be changed. These include - Gender. Women are at higher risk for osteoporosis than men. They have smaller bones and lose bone more rapidly than men do because of hormone changes that occur after menopause. Therefore, if you are a woman, you are at higher risk for osteoporosis.  - Age. Because bones become thinner with age, the older you are, the greater your risk of osteoporosis.  - Ethnicity. Caucasian and Asian women are at the highest risk for osteoporosis. This is mainly due to differences in bone mass and density compared with other ethnic groups. African-American and Hispanic women are also at risk, but less so.  - Family History. Osteoporosis tends to run in families. If a family member has osteoporosis or breaks a bone, there is a greater chance that you will too.  - History of Previous Fracture. People who have had a fracture after the age of 50 are at high risk of having another. Gender. Women are at higher risk for osteoporosis than men. They have smaller bones and lose bone more rapidly than men do because of hormone changes that occur after menopause. Therefore, if you are a woman, you are at higher risk for osteoporosis. Age. Because bones become thinner with age, the older you are, the greater your risk of osteoporosis. Ethnicity. Caucasian and Asian women are at the highest risk for osteoporosis. This is mainly due to differences in bone mass and density compared with other ethnic groups. African-American and Hispanic women are also at risk, but less so. Family History. Osteoporosis tends to run in families. If a family member has osteoporosis or breaks a bone, there is a greater chance that you will too. History of Previous Fracture. People who have had a fracture after the age of 50 are at high risk of having another. Risk Factors You Can Change There are other risk factors for osteoporosis that can be changed. -  Poor diet. Getting too little calcium over your lifetime can increase your risk for osteoporosis. Not getting enough vitamin D -- either from your diet, supplements, or sunlight -- can also increase your risk for osteoporosis. Vitamin D is important because it helps the body absorb calcium. An overall diet adequate in protein and other vitamins and minerals is also essential for bone health.  - Physical inactivity. Not exercising and being inactive or staying in bed for long periods can increase your risk of developing osteoporosis. Like muscles, bones become stronger with exercise.  - Smoking. Cigarette smokers may absorb less calcium from their diets. In addition, women who smoke have lower levels of estrogen in their bodies.  Learn more about smoking and bone health.   Poor diet. Getting too little calcium over your lifetime can increase your risk for osteoporosis. Not getting enough vitamin D -- either from your diet, supplements, or sunlight -- can also increase your risk for osteoporosis. Vitamin D is important because it helps the body absorb calcium. An overall diet adequate in protein and other vitamins and minerals is also essential for bone health. Physical inactivity. Not exercising and being inactive or staying in bed for long periods can increase your risk of developing osteoporosis. Like muscles, bones become stronger with exercise. Smoking. Cigarette smokers may absorb less calcium from their diets. In addition, women who smoke have lower levels of estrogen in their bodies.  Learn more about smoking and bone health.   - Medications. Some commonly used medicines can cause loss of bone mass. These include a type of steroid called glucocorticoids, which are used to control diseases such as arthritis and asthma; some antiseizure drugs; some medicines that treat endometriosis; and some cancer drugs. Using too much thyroid hormone for an underactive thyroid can also be a problem. Talk to your doctor about the medications you are taking and what you can do to protect your bones.   - Low body weight. Women who are thin -- and small-boned -- are at greater risk for osteoporosis.  Medications. Some commonly used medicines can cause loss of bone mass. These include a type of steroid called glucocorticoids, which are used to control diseases such as arthritis and asthma; some antiseizure drugs; some medicines that treat endometriosis; and some cancer drugs. Using too much thyroid hormone for an underactive thyroid can also be a problem. Talk to your doctor about the medications you are taking and what you can do to protect your bones. Low body weight. Women who are thin -- and small-boned -- are at greater risk for osteoporosis.  Use this checklist to find out if you are at risk for weak bones.  Many of these risk factors, both ones you can change and ones you cannot change, affect peak bone mass, which is when your bones achieve maximum strength and density. Because high peak bone density can reduce osteoporosis risk later in life, it makes sense to pay more attention to those factors that affect peak bone mass. Learn more about peak bone mass."
"What are the symptoms of Osteoporosis ?","Fractures -- A Possible Warning Sign Osteoporosis does not have any symptoms until a fracture occurs. Women and men with osteoporosis most often break bones in the hip, spine, and wrist. But any fracture in an older person could be a warning sign that the bone is weaker than optimal. Some people may be unaware that they have already experienced one or more spine fractures. Height loss of one inch or more may be the first sign that someone has experienced spine fractures due to osteoporosis. Multiple spine fractures can cause a curved spine, stooped posture, back pain, and back fatigue. Women and men who have had a fracture are at high risk of experiencing another one. A fracture over the age of 50 or several fractures before that age may be a warning sign that a person has already developed osteoporosis. People over the age of 50 who have experienced a fracture should talk to their doctor about getting evaluated for osteoporosis. Risk Factors for Fractures The more likely you are to fall, the higher your risk for a fracture. And more severe falls increase your risk for fractures. Factors that increase your risk of falling and of fracturing a bone include - decreased muscle strength   - poor balance  -  impaired eyesight  - impaired mental abilities   - certain medications, such as tranquilizers and muscle relaxants  - hazardous elements in your living environment, such as slippery throw rugs and icy sidewalks.  decreased muscle strength poor balance impaired eyesight impaired mental abilities certain medications, such as tranquilizers and muscle relaxants hazardous elements in your living environment, such as slippery throw rugs and icy sidewalks. The angle at which you fall also affects your risk of fracture. Hip Fractures Although low bone mass (or low bone density) plays an important role in determining a person's risk of osteoporosis, it is only one of many risk factors for fractures. Various aspects of bone geometry, such as tallness, hip structure, and thighbone (femur) length, can also affect your chances of breaking a bone if you fall. Increasing age, too much weight loss, a history of fractures since age 50, having an existing spine fracture, and having a mother who fractured her hip all increase the risk of hip fracture regardless of a person's bone density. People with more risk factors have a higher chance of suffering a hip fracture."
"How to diagnose Osteoporosis ?","Who Should Be Tested? The United States Preventive Service Task Force recommends that women aged 65 and older be screened (tested) for osteoporosis, as well as women aged 60 and older who are at increased risk for an osteoporosis-related fracture. However, the decision of whether or not to have a bone density test is best made between a patient and his or her physician. Medicare will usually cover the cost of a bone density test, and a follow up test every 2 years, for female beneficiaries. It also will cover screening and follow up of any male Medicare recipients who have significant risk factors for osteoporosis. When To Talk With a Doctor Consider talking to your doctor about being evaluated for osteoporosis if - you are a man or woman over age 50 or a postmenopausal woman and you break a bone  - you are a woman age 65 or older  - you are a woman younger than 65 and at high risk for fractures   - you have lost height, developed a stooped or hunched posture, or experienced sudden back pain with no apparent cause  - you have been taking glucocorticoid medications such as prednisone, cortisone, or dexamethasone for 2 months or longer or are taking other medications known to cause bone loss   - you have a chronic illness or are taking a medication that is known to cause bone loss   - you have anorexia nervosa or a history of this eating disorder.  - you are a premenopausal woman, not pregnant, and your menstrual periods have stopped, are irregular, or never started when you reached puberty.  you are a man or woman over age 50 or a postmenopausal woman and you break a bone you are a woman age 65 or older you are a woman younger than 65 and at high risk for fractures you have lost height, developed a stooped or hunched posture, or experienced sudden back pain with no apparent cause you have been taking glucocorticoid medications such as prednisone, cortisone, or dexamethasone for 2 months or longer or are taking other medications known to cause bone loss you have a chronic illness or are taking a medication that is known to cause bone loss you have anorexia nervosa or a history of this eating disorder. you are a premenopausal woman, not pregnant, and your menstrual periods have stopped, are irregular, or never started when you reached puberty. Diagnosing Osteoporosis Diagnosing osteoporosis involves several steps, starting with a physical exam and a careful medical history, blood and urine tests, and possibly a bone mineral density assessment. When recording information about your medical history, your doctor will ask questions to find out whether you have risk factors for osteoporosis and fractures. The doctor may ask about -  any fractures you have had   -  your lifestyle (including diet, exercise habits, and whether you smoke)  - current or past health problems   - medications that could contribute to low bone mass and increased fracture risk  - your family history of osteoporosis and other diseases   - for women, your menstrual history.  any fractures you have had your lifestyle (including diet, exercise habits, and whether you smoke) current or past health problems medications that could contribute to low bone mass and increased fracture risk your family history of osteoporosis and other diseases for women, your menstrual history. The doctor will also do a physical exam that should include checking for loss of height and changes in posture and may include checking your balance and gait (the way you walk). Bone Density Tests The test used to diagnose osteoporosis is called a bone density test. This test is a measure of how strong -- or dense -- your bones are and can help your doctor predict your risk for having a fracture. Bone density tests are painless, safe, and require no preparation on your part. Bone density tests compare your bone density to the bones of an average healthy young adult. The test result, known as a T-score, tells you how strong your bones are, whether you have osteoporosis or osteopenia (low bone mass that is not low enough to be diagnosed as osteoporosis), and your risk for having a fracture. Some bone density tests measure the strength of the hip, spine, and/or wrist, which are the bones that break most often in people with osteoporosis. Other tests measure bone in the heel or hand. Although no bone density test is 100 percent accurate, it is the single most important diagnostic test to predict whether a person will have a fracture in the future. The most widely recognized bone density test is a central DXA (dual-energy x-ray absorptiometry) scan of the hip and spine. This test shows if you have normal bone density, low bone mass, or osteoporosis. It is also used to monitor bone density changes as a person ages or in response to treatment."
"What are the treatments for Osteoporosis ?","Although there is no cure for osteoporosis, it can be treated. If your doctor does not specialize in osteoporosis, he or she can refer you to a specialist. There is not one type of doctor who cares for people with osteoporosis. Many family doctors have been learning about osteoporosis and can treat people who have it. Endocrinologists, rheumatologists, geriatricians, and internists are just a few of the specialists who can provide care to people with osteoporosis.  Here is how to find an appropriate health care professional to treat osteoporosis. The Goal of Treatment The goal of treatment is to prevent fractures. A balanced diet rich in calcium, adequate vitamin D, a regular exercise program, and fall prevention are all important for maintaining bone health. Medications Several medications are approved by the Food and Drug Administration for the treatment of osteoporosis. Since all medications have side effects, it is important to talk to your doctor about which medication is right for you. Bisphosphonates. Several bisphosphonates are approved for the prevention or treatment of osteoporosis. These medications reduce the activity of cells that cause bone loss. - Side effects of taking oral bisphosphonates may include nausea, heartburn, and stomach pain, including serious digestive problems if they are not taken properly. Side effects of taking oral bisphosphonates may include nausea, heartburn, and stomach pain, including serious digestive problems if they are not taken properly. - A few people have muscle, bone, or joint pain while using these medicines.  A few people have muscle, bone, or joint pain while using these medicines. -  Side effects of intravenous bisphosphonates may include flu-like symptoms such as fever, pain in muscles or joints, and headaches. These symptoms usually stop after a few days. In rare cases, deterioration of the jawbone or an unusual type of broken bone in the femur (thigh bone) has occurred in people taking bisphosphonates.  Side effects of intravenous bisphosphonates may include flu-like symptoms such as fever, pain in muscles or joints, and headaches. These symptoms usually stop after a few days. In rare cases, deterioration of the jawbone or an unusual type of broken bone in the femur (thigh bone) has occurred in people taking bisphosphonates. - The Food and Drug Administration recommends that health care professionals consider periodic reevaluation of the need for continued bisphosphonate therapy, particularly for patients who have been on bisphosphonates for longer than 5 years. The Food and Drug Administration recommends that health care professionals consider periodic reevaluation of the need for continued bisphosphonate therapy, particularly for patients who have been on bisphosphonates for longer than 5 years. Parathyroid hormone. A form of human parathyroid hormone (PTH) is approved for postmenopausal women and men with osteoporosis who are at high risk for having a fracture. Use of the drug for more than 2 years is not recommended.  RANK ligand (RANKL) inhibitor. A RANK ligand (RANKL) inhibitor is approved for postmenopausal women with osteoporosis who are at high risk for fracture Estrogen agonists/antagonists. An estrogen agonist/ antagonist (also called a selective estrogen receptor modulator or SERM) is approved for the prevention and treatment of osteoporosis in postmenopausal women. SERMs are not estrogens, but they have estrogen-like effects on some tissues and estrogen-blocking effects on other tissues. Calcitonin. Calcitonin is approved for the treatment of osteoporosis in women who are at least 5 years beyond menopause. Calcitonin is a hormone involved in calcium regulation and bone metabolism. Estrogen and Hormone Therapy. Estrogen is approved for the treatment of menopausal symptoms and osteoporosis in women after menopause. - Because of recent evidence that breast cancer, strokes, blood clots, and heart attacks may be increased in some women who take estrogen, the Food and Drug Administration recommends that women take the lowest effective dose for the shortest period possible. Estrogen should only be considered for women at significant risk for osteoporosis, and nonestrogen medications should be carefully considered first. Because of recent evidence that breast cancer, strokes, blood clots, and heart attacks may be increased in some women who take estrogen, the Food and Drug Administration recommends that women take the lowest effective dose for the shortest period possible. Estrogen should only be considered for women at significant risk for osteoporosis, and nonestrogen medications should be carefully considered first."
"what research (or clinical trials) is being done for Osteoporosis ?","Scientists are pursuing a wide range of basic and clinical studies on osteoporosis. Significant advances in preventing and treating osteoporosis continue to be made. Such advances are the direct result of research focused on -  determining the causes and consequences of bone loss at the cellular and tissue levels  - assessing risk factors  - developing new strategies to maintain and even enhance bone density and reduce fracture risk  - exploring the roles of such factors as genetics, hormones, calcium, vitamin D, drugs, and exercise on bone mass. determining the causes and consequences of bone loss at the cellular and tissue levels assessing risk factors developing new strategies to maintain and even enhance bone density and reduce fracture risk exploring the roles of such factors as genetics, hormones, calcium, vitamin D, drugs, and exercise on bone mass.  Get more information about ongoing research on osteoporosis from the National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS) at NIH."
"What is Osteoporosis ?","Osteoporosis is a disease that thins and weakens the bones to the point that they break easily. Women and men with osteoporosis most often break bones in the hip, spine, and wrist, but osteoporosis can be the cause of bone fractures anywhere."
"How to prevent Osteoporosis ?","Preventing falls is a special concern for men and women with osteoporosis. Falls can increase the likelihood of fracturing a bone in the hip, wrist, spine, or other part of the skeleton. In addition to the environmental factors listed below, falls can also be caused by impaired vision or balance, chronic diseases that affect mental or physical functioning, and certain medications, such as sedatives and antidepressants. It is also important that individuals with osteoporosis be aware of any physical changes that affect their balance or gait, and that they discuss these changes with their health care provider. Here are some tips to help eliminate the environmental factors that lead to falls.  Outdoors: - Use a cane or walker for added stability.   - Wear rubber-soled shoes for traction.  - Walk on grass when sidewalks are slippery.  - In winter, carry salt or kitty litter to sprinkle on slippery sidewalks.  - Be careful on highly polished floors that become slick and dangerous when wet.  - Use plastic or carpet runners when possible. Use a cane or walker for added stability. Wear rubber-soled shoes for traction. Walk on grass when sidewalks are slippery. In winter, carry salt or kitty litter to sprinkle on slippery sidewalks. Be careful on highly polished floors that become slick and dangerous when wet. Use plastic or carpet runners when possible.  Indoors: -  Keep rooms free of clutter, especially on floors.   - Keep floor surfaces smooth but not slippery.  - Wear supportive, low-heeled shoes even at home.  - Avoid walking in socks, stockings, or slippers.  - Be sure carpets and area rugs have skid-proof backing or are tacked to the floor.  - Be sure stairwells are well lit and that stairs have handrails on both sides.  - Install grab bars on bathroom walls near tub, shower, and toilet.  - Use a rubber bath mat in shower or tub.  - Keep a flashlight with fresh batteries beside your bed.  - If using a step stool for hard-to-reach areas, use a sturdy one with a handrail and wide steps.  - Add ceiling fixtures to rooms lit by lamps.  - Consider purchasing a cordless phone so that you dont have to rush to answer the phone when it rings, or so that you can call for help if you do fall. Keep rooms free of clutter, especially on floors. Keep floor surfaces smooth but not slippery. Wear supportive, low-heeled shoes even at home. Avoid walking in socks, stockings, or slippers. Be sure carpets and area rugs have skid-proof backing or are tacked to the floor. Be sure stairwells are well lit and that stairs have handrails on both sides. Install grab bars on bathroom walls near tub, shower, and toilet. Use a rubber bath mat in shower or tub. Keep a flashlight with fresh batteries beside your bed. If using a step stool for hard-to-reach areas, use a sturdy one with a handrail and wide steps. Add ceiling fixtures to rooms lit by lamps. Consider purchasing a cordless phone so that you dont have to rush to answer the phone when it rings, or so that you can call for help if you do fall. Learn more about devices that can help prevent falls in older adults."
"What is Kidney Disease ?","What the Kidneys Do You have two kidneys. They are bean-shaped and about the size of a fist. They are located in the middle of your back, on the left and right of your spine, just below your rib cage. The kidneys filter your blood, removing wastes and extra water to make urine. They also help control blood pressure and make hormones that your body needs to stay healthy. When the kidneys are damaged, wastes can build up in the body. Kidney Function and Aging Kidney function may be reduced with aging. As the kidneys age, the number of filtering units in the kidney may decrease, the overall amount of kidney tissue may decrease, and the blood vessels that supply the kidney may harden, causing the kidneys to filter blood more slowly. If your kidneys begin to filter less well as you age, you may be more likely to have complications from certain medicines. There may be an unsafe buildup of medicines that are removed from your blood by your kidneys. Also, your kidneys may be more sensitive to certain medicines. For example, nonsteroidal anti-inflammatory drugs (NSAIDs) and some antibiotics may harm your kidneys in some situations. The next time you pick up a prescription or buy an over-the-counter medicine or supplement, ask your pharmacist how the product may affect your kidneys and interact with your other medicines. (Watch the video to learn more about what the kidneys do. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.) Learn more about how the kidneys work.  How Kidney Disease Occurs Kidney disease means the kidneys are damaged and can no longer remove wastes and extra water from the blood as they should. Kidney disease is most often caused by diabetes or high blood pressure. According to the Centers for Disease Control and Prevention, more than 20 million Americans may have kidney disease. Many more are at risk. The main risk factors for developing kidney disease are - diabetes   - high blood pressure   - cardiovascular (heart and blood vessel) disease   - a family history of kidney failure. diabetes high blood pressure cardiovascular (heart and blood vessel) disease a family history of kidney failure. Each kidney contains about one million tiny filtering units made up of blood vessels. These filters are called glomeruli. Diabetes and high blood pressure damage these blood vessels, so the kidneys are not able to filter the blood as well as they used to. Usually this damage happens slowly, over many years. This is called chronic kidney disease. As more and more filtering units are damaged, the kidneys eventually are unable to maintain health. Early kidney disease usually has no symptoms, which means you will not feel different. Blood and urine tests are the only way to check for kidney damage or measure kidney function. If you have diabetes, high blood pressure, heart disease, or a family history of kidney failure, you should be tested for kidney disease. Kidney Failure  Kidney disease can get worse over time, and may lead to kidney failure. Kidney failure means very advanced kidney damage with less than 15% normal function. End-stage renal disease (ESRD) is kidney failure treated by dialysis or kidney transplant. If the kidneys fail, treatment options such as dialysis or a kidney transplant can help replace kidney function. Some patients choose not to treat kidney failure with dialysis or a transplant. If your kidneys fail, talk with your health care provider about choosing a treatment that is right for you. (Watch the video to learn more about how kidney disease progresses. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.)"
"How to prevent Kidney Disease ?","Risk Factors Diabetes and high blood pressure are the two leading causes of kidney disease. Both diabetes and high blood pressure damage the small blood vessels in your kidneys and can cause kidney disease -- without you feeling it. Other risk factors for kidney disease include: - cardiovascular (heart) disease  - family history -- if you have a mother, father, sister, or brother who has had kidney failure, then you are at increased risk. cardiovascular (heart) disease family history -- if you have a mother, father, sister, or brother who has had kidney failure, then you are at increased risk. Additionally, African Americans, Hispanics, and Native Americans are at high risk for developing kidney failure. This is in part due to high rates of diabetes and high blood pressure in these communities.  If you have ANY of these risk factors, talk to your health care provider about getting tested for kidney disease. If you have kidney disease, you may not feel any different. It is very important to get tested if you are at risk. (Watch the video to learn more about reducing your risk for kidney disease. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.) Prevention If you are at risk for kidney disease, the most important steps you can take to keep your kidneys healthy are to - get your blood and urine checked for kidney disease.  - manage your diabetes, high blood pressure, and heart disease. get your blood and urine checked for kidney disease. manage your diabetes, high blood pressure, and heart disease. Manage your diabetes and high blood pressure, and keep your kidneys healthy by -  eating healthy foods: fresh fruits, fresh or frozen vegetables, whole grains, and low-fat dairy foods  - cutting back on salt   - limiting your alcohol intake   - being more physically active   - losing weight if you are overweight   - taking your medicines the way your provider tells you to   - keeping your cholesterol levels in the target range   - taking steps to quit, if you smoke  - seeing your doctor regularly.  eating healthy foods: fresh fruits, fresh or frozen vegetables, whole grains, and low-fat dairy foods cutting back on salt limiting your alcohol intake being more physically active losing weight if you are overweight taking your medicines the way your provider tells you to keeping your cholesterol levels in the target range taking steps to quit, if you smoke seeing your doctor regularly. By following these steps and keeping risk factors under control -- especially your blood pressure -- you may be able to delay or even prevent kidney failure. Talk to your health care provider to find out the steps that are right for you. Learn about preventing high blood pressure.  Learn about preventing type 2 diabetes."
"What are the symptoms of Kidney Disease ?","Kidney disease is often called a "silent" disease, because most people have no symptoms with early kidney disease. In fact, you might feel just fine until your kidneys have almost stopped working. Do NOT wait for symptoms! If you are at risk for kidney disease, talk to your health care provider about getting tested. (Watch the video to learn more about the symptoms of kidney disease. To enlarge the videos on this page, click the brackets in the lower right-hand corner of the video screen. To reduce the videos, press the Escape (Esc) button on your keyboard.) Symptoms of Kidney Failure Kidney failure means that damaged kidneys are filtering less than 15% of the amount of blood filtered by healthy kidneys. If kidney disease progresses to kidney failure, a number of symptoms may occur. Some people experience fatigue, some lose their appetite, and some have leg cramps. These problems are caused by waste products that build up in the blood, a condition known as uremia. Healthy kidneys remove waste products from the blood. When the kidneys stop working, uremia occurs. The kidneys also make hormones and balance the minerals in the blood. When the kidneys stop working, most people develop conditions that affect the blood, bones, nerves, and skin. These problems may include itching, sleep problems, restless legs, weak bones, joint problems, and depression. How Kidney Disease Is Diagnosed  Blood and urine tests are the only way to check for kidney damage or measure kidney function. It is important for you to get checked for kidney disease if you have the key risk factors, which are - diabetes  - high blood pressure   - heart disease  - a family history of kidney failure.  diabetes high blood pressure heart disease a family history of kidney failure. If you are at risk, ask about your kidneys at your next medical appointment. The sooner you know you have kidney disease, the sooner you can get treatment to help delay or prevent kidney failure. If you have diabetes, high blood pressure, heart disease, or a family history of kidney failure, you should get a blood and urine test to check your kidneys. Talk to your provider about how often you should be tested. (Watch the video to learn more about tests for kidney disease.) Blood Test The blood test checks your GFR. GFR stands for glomerular (glow-MAIR-you-lure) filtration rate. GFR is a measure of how much blood your kidneys filter each minute. This shows how well your kidneys are working. GFR is reported as a number. -  A GFR of 60 or higher is in the normal range.   - A GFR below 60 may mean you have kidney disease. However, because GFR decreases as people age, other information may be needed to determine if you actually have kidney disease.  - A GFR of 15 or lower may mean kidney failure.  A GFR of 60 or higher is in the normal range. A GFR below 60 may mean you have kidney disease. However, because GFR decreases as people age, other information may be needed to determine if you actually have kidney disease. A GFR of 15 or lower may mean kidney failure. You can't raise your GFR, but you can try to keep it from going lower. Ask your healthcare provider what you can do to keep your kidneys healthy.  Learn more about the GFR test. Urine Test The urine test looks for albumin (al-BYOO-min), a type of protein, in your urine. A healthy kidney does not let albumin pass into the urine. A damaged kidney lets some albumin pass into the urine. This test has several different names. You could be told that you are being screened for "proteinuria" or "albuminuria" or "microalbuminuria." Or you could be told that your "urine albumin-to-creatinine ratio" (UACR) is being measured. If you have albumin or protein in your urine, it could mean you have kidney disease. -  A urine albumin result below 30 is normal.  - A urine albumin result above 30 is not normal and may mean kidney disease. A urine albumin result below 30 is normal. A urine albumin result above 30 is not normal and may mean kidney disease. Learn more about the urine albumin test. Your healthcare provider might do additional tests to be sure."
"What is Alzheimer's Disease ?","Alzheimers disease is a brain disease that slowly destroys memory and thinking skills and, eventually, the ability to carry out the simplest tasks. It begins slowly and gets worse over time. Currently, it has no cure. A Common Cause of Dementia Alzheimers disease is the most common cause of dementia among older people. Dementia is a loss of thinking, remembering, and reasoning skills that interferes with a persons daily life and activities. Dementia ranges in severity from the mild stage, when it is just beginning to affect a persons functioning, to the severe stage, when the person must depend completely on others for basic care. Estimates vary, but experts suggest that more than 5 million Americans may have Alzheimer's disease. Alzheimers is currently ranked as the sixth leading cause of death in the United States, but recent estimates indicate that the disorder may rank third, just behind heart disease and cancer, as a cause of death for older people Risk Increases With Age In most people with Alzheimers, symptoms first appear in their mid-60s, and the risk of developing the disease increases with age. While younger people -- in their 30s, 40s, and 50s -- may get Alzheimer's disease, it is much less common. It is important to note that Alzheimer's disease is not a normal part of aging. The course of Alzheimers diseasewhich symptoms appear and how quickly changes occurvaries from person to person. The time from diagnosis to death varies, too. It can be as little as 3 or 4 years if the person is over 80 years old when diagnosed or as long as 10 years or more if the person is younger. Memory Problems: One of the First Signs Memory problems are typically one of the first signs of Alzheimers disease, though initial symptoms may vary from person to person. A decline in other aspects of thinking, such as finding the right words, vision/spatial issues, and impaired reasoning or judgment, may also signal the very early stages of Alzheimers disease. People with Alzheimers have trouble doing everyday things like driving a car, cooking a meal, or paying bills. They may ask the same questions over and over, get lost easily, lose things or put them in odd places, and find even simple things confusing. Some people become worried, angry, or violent. Other Reasons for Memory Issues Not all people with memory problems have Alzheimers disease. Mild forgetfulness can be a normal part of aging. Some people may notice that it takes longer to learn new things, remember certain words, or find their glasses. Thats different from a serious memory problem, which makes it hard to do everyday things. Sometimes memory problems are related to health issues that are treatable. For example, medication side effects, vitamin B12 deficiency, head injuries, or liver or kidney disorders can lead to memory loss or possibly dementia. Emotional problems, such as stress, anxiety, or depression, can also make a person more forgetful and may be mistaken for dementia. Read more about causes of memory loss and how to keep your memory sharp. Mild Cognitive Impairment Some older people with memory or other thinking problems have a condition called mild cognitive impairment, or MCI. MCI can be an early sign of Alzheimers, but not everyone with MCI will develop Alzheimers disease. People with MCI have more memory problems than other people their age, but they can still take care of themselves and do their normal activities. Signs of MCI may include - losing things often  - forgetting to go to events and appointments  - having more trouble coming up with words than other people the same age. losing things often forgetting to go to events and appointments having more trouble coming up with words than other people the same age. If you or someone in your family thinks your forgetfulness is getting in the way of your normal routine, its time to see your doctor. Seeing the doctor when you first start having memory problems can help you find out whats causing your forgetfulness. Learn more about mild cognitive impairment (MCI).  What Happens to the Brain in Alzheimers? Alzheimer's disease is named after Dr. Alois Alzheimer, a German doctor. In 1906, Dr. Alzheimer noticed changes in the brain tissue of a woman who had died of an unusual mental illness. After she died, he examined her brain and found many abnormal clumps (now called amyloid plaques) and tangled bundles of fibers (now called neurofibrillary, or tau, tangles). Plaques and tangles in the brain are two of the main features of Alzheimer's disease. Another is the loss of connections between nerve cells (neurons) in the brain. Neurons send messages between different parts of the brain, and from the brain to muscles and organs in the body. It seems likely that damage to the brain starts 10 years or more before memory or other thinking problems become obvious. During the earliest stage of Alzheimers, people are free of symptoms, but harmful changes are taking place in the brain. The damage at first appears to take place in cells of the hippocampus, the part of the brain essential in forming memories. Abnormal protein deposits form plaques and tangles in the brain. Once-healthy nerve cells stop functioning, lose connections with each other, and die. As more nerve cells die, other parts of the brain begin to shrink. By the final stage of Alzheimers, damage is widespread, and brain tissue has shrunk significantly. Get more details about Alzheimers disease."
"What causes Alzheimer's Disease ?","There are two types of Alzheimers diseaseearly-onset and late-onset. Early-onset Alzheimers is a rare form of the disease that occurs in people age 30 to 60. It occurs in less than 5 percent of all people with Alzheimers. Almost all people with Alzheimers disease have late-onset Alzheimer's, which usually develops after age 60. Causes Not Fully Understood Scientists do not yet fully understand what causes Alzheimer's disease in most people. In early-onset Alzheimers, a genetic mutation is usually the cause. Late-onset Alzheimers arises from a complex series of brain changes that occur over decades. The causes probably include a mix of genetic, environmental, and lifestyle factors. These factors affect each person differently. Research shows that Alzheimers disease causes changes in the brain years and even decades before the first symptoms appear, so even people who seem free of the disease today may be at risk. Scientists are developing sophisticated tests to help identify who is most likely to develop symptoms of Alzheimers. Ultimately, they hope to prevent or delay dementia in these high-risk individuals. Risk Factors Some risk factors for Alzheimers, like age and genetics, cannot be controlled. Other factors that may play a role in the development of the diseasesuch as how much a person exercises or socializescan be changed. Lifestyle factors, such as diet and physical exercise, and long-term health conditions, like high blood pressure and diabetes, might also play a role in the risk of developing Alzheimers disease. For more information, see the chapter entitled Prevention. Older AgeThe Biggest Risk Factor Increasing age is the most important known risk factor for Alzheimer's disease. The number of people with the disease doubles every 5 years beyond age 65. Nearly half of people age 85 and older may have Alzheimers. These facts are significant because the number of older adults is growing. Genetics Genetics appears to play a part in both early- and late-onset Alzheimers disease. In early-onset Alzheimers, most cases are caused by specific genetic mutations permanent changes in genes that can be passed on from a parent to a child. This results in early-onset familial Alzheimers disease, or FAD. Most people with Alzheimers disease have late-onset Alzheimer's, in which symptoms appear in a persons mid-60s. No obvious family pattern is seen in most of these cases, but certain genetic factors appear to increase a persons risk. Many studies have linked the apolipoprotein E gene to late-onset Alzheimers. One form of this gene, APOE 4, increases a persons risk of getting the disease. But many people who get Alzheimers do not have the APOE 4 gene, and some people with the gene never get Alzheimers. Scientists have identified a number of other genes in addition to APOE 4 that may increase a persons risk for late-onset Alzheimers. Knowing about these genes can help researchers more effectively test possible treatments and prevention strategies in people who are at risk of developing Alzheimers -- ideally, before symptoms appear. Learn more about the genetics of Alzheimers disease."
